user_influence,network,metric_type,metric_value,readability,multimedia_presence,reach,longevity
0.1003,1,1,0.0018,83.52,0,277,3
0.1073,1,1,0.0016,51.18,0,666,9
0.1128,1,1,0.0016,67.25,0,1744,4
0.1126,1,1,0.0016,56.59,0,1844,2
0.1348,1,1,0.0132,64.67,0,227372,1
0.0908,1,1,0.0016,44.75,1,4275,1
0.0885,1,1,0.0279,50.16,0,40129,1
0.1045,1,1,0.0044,52.87,0,6862,2
0.1158,1,1,0.0025,67.25,0,5250,7
0.1001,1,1,0.0023,60.31,0,410,1
0.1131,1,1,0.0016,84.17,0,1254,5
0.1103,1,1,0.0035,61.33,0,3304,4
0.1127,1,1,0.0032,47.79,1,803,4
0.0975,1,1,0.0286,52.36,0,1715,1
0.1385,1,1,0.0023,61.33,0,112693,4
0.1127,1,1,0.0021,60.65,1,3099,3
0.1124,1,1,0.0039,68.26,0,694,2
0.1144,1,1,0.0016,88.43,0,2087,11
0.1145,1,1,0.0030,65.05,0,6261,12
0.1131,1,1,0.0032,46.1,0,2876,4
0.1124,1,1,0.0016,42.72,0,717,2
0.1125,1,1,0.0016,75.71,0,953,3
0.1126,1,1,0.0018,43.9,0,302,5
0.1001,1,1,0.0023,64.04,0,4658,8
0.1067,1,1,0.0067,47.12,0,7391,8
0.0487,1,1,0.0083,45.42,0,3416,1
0.1184,1,1,0.0016,57.61,0,6103,10
0.1135,1,1,0.0035,72.5,0,1481,6
0.1037,1,1,0.0018,47.12,0,24059,8
0.1143,1,1,0.0018,33.24,0,2211,7
0.1125,1,1,0.0030,72.83,0,1942,1
0.1127,1,1,0.0023,53.37,0,2639,2
0.1706,1,1,0.0016,76.72,0,43787,15
0.2257,1,1,0.0139,76.72,0,143304,15
0.1125,1,1,0.0018,61.33,0,908,5
0.1110,1,1,0.0028,26.81,0,16084,5
0.1127,1,1,0.0018,82.65,0,962,4
0.1088,1,1,0.0035,68.26,0,1229,4
0.1164,1,1,0.0018,68.26,0,4773,10
0.1125,1,1,0.0016,71.48,0,246,3
0.1129,1,1,0.0048,54.22,1,523,4
0.1124,1,1,0.0030,67.76,0,93,2
0.1664,1,1,0.0074,80.62,0,247938,2
0.1114,1,1,0.0067,56.59,0,606,2
0.1128,1,1,0.0018,92.12,0,679,3
0.1126,1,1,0.0021,51.34,0,436,4
0.1116,1,1,0.0025,42.72,0,1325,7
0.1139,1,1,0.0023,60.31,1,28778,3
0.1138,1,1,0.0016,54.56,0,2963,8
0.1030,1,1,0.0021,25.8,0,679,1
0.1128,1,1,0.0030,92.12,0,481,3
0.1028,1,1,0.0025,71.82,0,5344,9
0.1162,1,1,0.0016,59.3,0,3923,9
0.0932,1,1,0.0090,39.33,0,1704,1
0.1126,1,1,0.0030,42.88,0,1672,4
0.1101,1,1,0.0025,32.9,0,1562,2
0.1125,1,1,0.0016,64.07,0,1306,3
0.0316,1,1,0.0039,51.18,0,57015,11
0.1127,1,1,0.0016,98.55,0,356,4
0.1706,1,1,0.0021,76.72,0,43962,15
0.1127,1,1,0.0018,83.66,0,447,3
0.1108,1,1,0.0025,32.22,0,361,3
0.1124,1,1,0.0016,57.27,0,855,1
0.1125,1,1,0.0018,65.05,0,2228,1
0.1706,1,1,0.0018,76.72,0,43754,15
0.1129,1,1,0.0018,80.28,0,663,3
0.1387,1,1,0.0035,49.15,0,645451,2
0.1126,1,1,0.0018,73.13,0,341,4
0.1124,1,1,0.0051,61.83,1,190,2
0.1125,1,1,0.0042,43.39,0,658,2
0.1134,1,1,0.0021,49.15,0,2145,6
0.2385,1,1,0.0314,67.76,0,1208032,14
0.1124,1,1,0.0039,84.68,0,35,2
0.1125,1,1,0.0018,53.21,1,256,1
0.1129,1,1,0.0032,80.28,0,692,3
0.0772,1,1,0.0099,85.69,0,51877,8
0.1113,1,1,0.0025,98.21,0,680,5
0.0943,1,1,0.0035,66.07,0,10232,5
0.1133,1,1,0.0037,50.16,0,1482,4
0.1159,1,1,0.0018,71.82,0,5161,9
0.1125,1,1,0.0030,84.68,0,390,2
0.1450,1,1,0.0055,57.61,0,221167,7
0.0851,1,1,0.0044,72.5,0,1226,6
0.1130,1,1,0.0016,83.66,0,2898,5
0.1126,1,1,0.0016,68.44,0,429,9
0.1135,1,1,0.0021,88.43,0,2746,12
0.1097,1,1,0.0016,40.35,0,393,4
0.1699,1,1,0.0018,76.72,0,44794,15
0.1144,1,1,0.0021,88.43,0,2419,11
0.1129,1,1,0.0016,63.02,0,704,4
0.1117,1,1,0.0035,83.66,0,384,3
0.1136,1,1,0.0021,85.18,0,1543,3
0.2078,1,1,0.0016,66.07,0,519956,5
0.1110,1,1,0.0028,72.53,0,3767,1
0.0786,1,1,0.0092,25.46,0,2454,1
0.0891,1,1,0.0044,57.61,0,5284,1
0.1120,1,1,0.0120,76.22,0,894,5
0.1128,1,1,0.0046,88.06,0,7981,1
0.1278,1,1,0.0032,76.72,0,46203,15
0.1111,1,1,0.0023,52.87,0,6346,1
0.1087,1,1,0.0037,84.17,0,562,4
0.1128,1,1,0.0025,57.61,0,8767,2
0.1127,1,1,0.0016,68.77,0,5880,2
0.1126,1,1,0.0046,59.3,0,404,3
0.1040,1,1,0.0018,64.04,1,4484,1
0.1150,1,1,0.0021,26.81,0,2902,5
0.1158,1,1,0.0025,34.26,0,6905,7
0.1124,1,1,0.0021,45.42,1,52,3
0.1107,1,1,0.0016,66.07,0,13845,4
0.1124,1,1,0.0037,29.86,1,530,1
0.1126,1,1,0.0016,41.7,0,358,3
0.0941,1,1,0.0025,65.05,0,2191,9
0.1077,1,1,0.0016,64.67,0,1013,5
0.1142,1,1,0.0018,83.66,0,1784,10
0.1125,1,1,0.0023,80.28,0,204,3
